###################################################################
#   NDI 6D ARCHITECT COLLECTED MARKER DATA (CSV FORMAT)
#
#      Collection Date (M/D/Y): 11/18/2016
#      Collection Markers: 4
#      Collection Frames: 45
#
#      Part Number: 00
#      Manufacturer: Team6
#      Revision: 1
#      Serial Number: 978651138l
#
###################################################################
Marker1-X,Marker1-Y,Marker1-Z,Marker2-X,Marker2-Y,Marker2-Z,Marker3-X,Marker3-Y,Marker3-Z,Marker4-X,Marker4-Y,Marker4-Z
-3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f
-44.7189, -14.7185, -1492.5645, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -84.7817, -24.8108, -1514.2144, -107.0687, 7.1944, -1528.2299
-3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f
-44.7417, -14.7360, -1492.4130, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -84.7823, -24.8326, -1514.1528, -107.0537, 7.1566, -1528.0615
-44.7360, -14.7188, -1492.5044, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -84.7790, -24.8229, -1514.1921, -107.0570, 7.1751, -1528.2344
-44.7377, -14.7128, -1492.5774, -77.1335, -69.4352, -1507.2661, -84.8461, -24.8205, -1514.2635, -107.0427, 7.1778, -1528.1565
-3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -77.1618, -69.4176, -1507.3656, -84.8702, -24.7866, -1514.5106, -106.9864, 7.2300, -1528.4524
-44.7623, -14.7240, -1492.5193, -77.1931, -69.4204, -1507.3121, -84.8503, -24.8053, -1514.2733, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f
-3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f
-3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f
-3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f
-3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f
-3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f
-3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f
-3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f
-3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f
-3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f
-3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f
-3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f
-3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f
-3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f
-3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f
-3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f
-3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f
-3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f
-3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f
-3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f
-3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f
-3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f
-3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f
-3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f
